"WHQ550.Code.or.Value","WHQ550.Value.Description","WHQ550.Count","WHQ550.Cumulative","WHQ550.Skip.to.Item"
"1","never,",229,229,NA
"2","sometimes, or",435,664,NA
"3","a lot?",88,752,NA
"7","Refused",0,752,NA
"9","Don't know",5,757,NA
".","Missing",703,1460,NA
