"BIXS806K.Code.or.Value","BIXS806K.Value.Description","BIXS806K.Count","BIXS806K.Cumulative","BIXS806K.Skip.to.Item"
"113.17 to 1133.5","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
