"DRQSDIET.Code.or.Value","DRQSDIET.Value.Description","DRQSDIET.Count","DRQSDIET.Cumulative","DRQSDIET.Skip.to.Item"
"1","Yes",822,822,""
"2","No",7747,8569,"DR1TNUMF"
"9","Don't know",49,8618,"DR1TNUMF"
".","Missing",720,9338,""
