"DR1TVB6.Code.or.Value","DR1TVB6.Value.Description","DR1TVB6.Count","DR1TVB6.Cumulative","DR1TVB6.Skip.to.Item"
"0 to 17.693","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
