"SXQ130.Code.or.Value","SXQ130.Value.Description","SXQ130.Count","SXQ130.Cumulative","SXQ130.Skip.to.Item"
"0 to 100","Range of Values",1559,1559,NA
"77777","Refused",7,1566,NA
"99999","Don't know",5,1571,NA
".","Missing",3054,4625,NA
