"URDPHGLC.Code.or.Value","URDPHGLC.Value.Description","URDPHGLC.Count","URDPHGLC.Cumulative","URDPHGLC.Skip.to.Item"
"0","At or above the detection limit",2665,2665,NA
"1","Below lower detection limit",504,3169,NA
".","Missing",148,3317,NA
