"MCQ240e.Code.or.Value","MCQ240e.Value.Description","MCQ240e.Count","MCQ240e.Cumulative","MCQ240e.Skip.to.Item"
"25 to 78","Range of Values",81,81,NA
"80","80 years or older",3,84,NA
"77777","Refused",0,84,NA
"99999","Don't know",2,86,NA
".","Missing",9489,9575,NA
