"URDMZPLC.Code.or.Value","URDMZPLC.Value.Description","URDMZPLC.Count","URDMZPLC.Cumulative","URDMZPLC.Skip.to.Item"
"0","At or above the detection limit",2913,2913,NA
"1","Below lower detection limit",62,2975,NA
".","Missing",230,3205,NA
