"DXDHELE.Code.or.Value","DXDHELE.Value.Description","DXDHELE.Count","DXDHELE.Cumulative","DXDHELE.Skip.to.Item"
"1901.2 to 5016.9","Range of Values",5379,5379,NA
".","Missing",654,6033,NA
