"AUXR2KR.Code.or.Value","AUXR2KR.Value.Description","AUXR2KR.Count","AUXR2KR.Cumulative","AUXR2KR.Skip.to.Item"
"45 to 115","Range of Values",9,9,NA
"666","No response",1,10,NA
"888","Could not obtain",0,10,NA
".","Missing",3024,3034,NA
