"URDUP8LC.Code.or.Value","URDUP8LC.Value.Description","URDUP8LC.Count","URDUP8LC.Cumulative","URDUP8LC.Skip.to.Item"
"0","At or above the detection limit",2507,2507,NA
"1","Below lower detection limit",1,2508,NA
".","Missing",97,2605,NA
