"LBDBPBSI.Code.or.Value","LBDBPBSI.Value.Description","LBDBPBSI.Count","LBDBPBSI.Cumulative","LBDBPBSI.Skip.to.Item"
"0.01 to 2.318","Range of Values",8945,8945,NA
".","Missing",984,9929,NA
