"URXPAR.Code.or.Value","URXPAR.Value.Description","URXPAR.Count","URXPAR.Cumulative","URXPAR.Skip.to.Item"
"0.07 to 44.64","Range of Values",2744,2744,NA
".","Missing",87,2831,NA
