"RFXC088.Code.or.Value","RFXC088.Value.Description","RFXC088.Count","RFXC088.Cumulative","RFXC088.Skip.to.Item"
"-7.686 to 5.204","Range of Values",33694,33694,NA
".","Missing",27,33721,NA
