"OHD721.Code.or.Value","OHD721.Value.Description","OHD721.Count","OHD721.Cumulative","OHD721.Skip.to.Item"
"1","Yes",802,802,NA
"2","No",4777,5579,NA
"7","Refused",1,5580,NA
"9","Don't know",40,5620,NA
".","Missing",3684,9304,NA
