"FSD165N.Code.or.Value","FSD165N.Value.Description","FSD165N.Count","FSD165N.Cumulative","FSD165N.Skip.to.Item"
"1 to 6","Range of Values",4337,4337,NA
"7","7 or more",213,4550,NA
"77","Refused",0,4550,NA
"99","Don't know",6,4556,NA
".","Missing",5415,9971,NA
