"URXOXY.Code.or.Value","URXOXY.Value.Description","URXOXY.Count","URXOXY.Cumulative","URXOXY.Skip.to.Item"
"0.07 to 10","Range of Values",2421,2421,NA
".","Missing",84,2505,NA
