"LBDSF4LC.Code.or.Value","LBDSF4LC.Value.Description","LBDSF4LC.Count","LBDSF4LC.Cumulative","LBDSF4LC.Skip.to.Item"
"0","At or above the detection limit",4183,4183,NA
"1","Below lower detection limit",388,4571,NA
".","Missing",521,5092,NA
