"DSQTIRON.Code.or.Value","DSQTIRON.Value.Description","DSQTIRON.Count","DSQTIRON.Cumulative","DSQTIRON.Skip.to.Item"
"0 to 400","Range of Values",1468,1468,NA
".","Missing",8681,10149,NA
