"LBD052LC.Code.or.Value","LBD052LC.Value.Description","LBD052LC.Count","LBD052LC.Cumulative","LBD052LC.Skip.to.Item"
"0","detectable result",31,31,NA
"1","below detectable limit",1881,1912,NA
".","Missing",362,2274,NA
