"OHQ490j.Code.or.Value","OHQ490j.Value.Description","OHQ490j.Count","OHQ490j.Cumulative","OHQ490j.Skip.to.Item"
"1","Checked",249,249,NA
"77","Refused",0,249,NA
"99","Don't know",8,257,NA
".","Missing",8590,8847,NA
