"PFQ061J.Code.or.Value","PFQ061J.Value.Description","PFQ061J.Count","PFQ061J.Cumulative","PFQ061J.Skip.to.Item"
"1","No difficulty",2285,2285,NA
"2","Some difficulty",437,2722,NA
"3","Much difficulty",118,2840,NA
"4","Unable to do",22,2862,NA
"5","Do not do this activity",9,2871,NA
"7","Refused",0,2871,NA
"9","Don't know",1,2872,NA
".","Missing",6794,9666,NA
