"OPDUGA.Code.or.Value","OPDUGA.Value.Description","OPDUGA.Count","OPDUGA.Cumulative","OPDUGA.Skip.to.Item"
"0","No",3196,3196,NA
"1","Yes",13,3209,NA
".","Missing",654,3863,NA
