"FSDCH.Code.or.Value","FSDCH.Value.Description","FSDCH.Count","FSDCH.Cumulative","FSDCH.Skip.to.Item"
"1","CH full or marginal food security: 0",5066,5066,NA
"2","CH marginal food security: 1",436,5502,NA
"3","CH low food security: 2-4",607,6109,NA
"4","CH very low food security: 5-8",92,6201,NA
".","Missing",3555,9756,NA
