"TYXP105.Code.or.Value","TYXP105.Value.Description","TYXP105.Count","TYXP105.Cumulative","TYXP105.Skip.to.Item"
"-298 to 155","Range of Values",5562,5562,NA
".","Missing",23,5585,NA
