"ORXH59.Code.or.Value","ORXH59.Value.Description","ORXH59.Count","ORXH59.Cumulative","ORXH59.Skip.to.Item"
"1","Positive",29,29,NA
"2","Negative",4695,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
