"FSD032B.Code.or.Value","FSD032B.Value.Description","FSD032B.Count","FSD032B.Cumulative","FSD032B.Skip.to.Item"
"1","Often true",916,916,NA
"2","Sometimes true",1913,2829,NA
"3","Never true",7588,10417,NA
"7","Refused",32,10449,NA
"9","Don't know",21,10470,NA
".","Missing",67,10537,NA
