"WBXP009.Code.or.Value","WBXP009.Value.Description","WBXP009.Count","WBXP009.Cumulative","WBXP009.Skip.to.Item"
"-40.6916 to 143.0484","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
