"DR2TFF.Code.or.Value","DR2TFF.Value.Description","DR2TFF.Count","DR2TFF.Cumulative","DR2TFF.Skip.to.Item"
"0 to 4186","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
