"DRABF.Code.or.Value","DRABF.Value.Description","DRABF.Count","DRABF.Cumulative","DRABF.Skip.to.Item"
"1","Yes",2244,2244,NA
"2","No",129907,132151,NA
".","Missing",0,132151,NA
