"OHQ576Q.Code.or.Value","OHQ576Q.Value.Description","OHQ576Q.Count","OHQ576Q.Cumulative","OHQ576Q.Skip.to.Item"
"1 to 66","Range of Values",265,265,""
"7777","Refused",0,265,"OHQ592"
"9999","Don't know",1,266,"OHQ592"
".","Missing",9309,9575,""
