"AUXU4KL.Code.or.Value","AUXU4KL.Value.Description","AUXU4KL.Count","AUXU4KL.Cumulative","AUXU4KL.Skip.to.Item"
"-10 to 120","Range of Values",4296,4296,NA
"666","No response",1,4297,NA
"888","Could not obtain",29,4326,NA
".","Missing",256,4582,NA
