"URDMMILC.Code.or.Value","URDMMILC.Value.Description","URDMMILC.Count","URDMMILC.Cumulative","URDMMILC.Skip.to.Item"
"0","At or above the detection limit",21,21,NA
"1","Below lower detection limit",2570,2591,NA
".","Missing",165,2756,NA
