"URXOP4.Code.or.Value","URXOP4.Value.Description","URXOP4.Count","URXOP4.Cumulative","URXOP4.Skip.to.Item"
"0.06 to 180","Range of Values",1949,1949,NA
".","Missing",176,2125,NA
