"HCQ140C.Code.or.Value","HCQ140C.Value.Description","HCQ140C.Count","HCQ140C.Cumulative","HCQ140C.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",2,2,NA
"7","Refused",0,2,NA
"9","Don't know",0,2,NA
".","Missing",110,112,NA
