"HOQ260B.Code.or.Value","HOQ260B.Value.Description","HOQ260B.Count","HOQ260B.Cumulative","HOQ260B.Skip.to.Item"
"2","Cat",1697,1697,NA
".","Missing",8651,10348,NA
