"LBDF06LC.Code.or.Value","LBDF06LC.Value.Description","LBDF06LC.Count","LBDF06LC.Cumulative","LBDF06LC.Skip.to.Item"
"0","detectable result",2,2,NA
"1","below detectable limit",1873,1875,NA
".","Missing",399,2274,NA
