"ORXH16.Code.or.Value","ORXH16.Value.Description","ORXH16.Count","ORXH16.Cumulative","ORXH16.Skip.to.Item"
"1","Positive",42,42,NA
"2","Negative",4368,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
