"DXDSTA.Code.or.Value","DXDSTA.Value.Description","DXDSTA.Count","DXDSTA.Cumulative","DXDSTA.Skip.to.Item"
"821.46 to 2739.79","Range of Values",4992,4992,NA
".","Missing",1041,6033,NA
