"LBDCOTLC.Code.or.Value","LBDCOTLC.Value.Description","LBDCOTLC.Count","LBDCOTLC.Cumulative","LBDCOTLC.Skip.to.Item"
"0","At or above the detection limit",6396,6396,NA
"1","Below lower detection limit",1352,7748,NA
".","Missing",964,8712,NA
