"DXXTATV.Code.or.Value","DXXTATV.Value.Description","DXXTATV.Count","DXXTATV.Cumulative","DXXTATV.Skip.to.Item"
"201.95 to 6311.13","Range of Values",5427,5427,NA
".","Missing",606,6033,NA
