"TYXP069.Code.or.Value","TYXP069.Value.Description","TYXP069.Count","TYXP069.Cumulative","TYXP069.Skip.to.Item"
"-190 to 159","Range of Values",5581,5581,NA
".","Missing",4,5585,NA
