"LBXPFDO.Code.or.Value","LBXPFDO.Value.Description","LBXPFDO.Count","LBXPFDO.Cumulative","LBXPFDO.Skip.to.Item"
"0.07 to 6.9","Range of Values",2168,2168,NA
".","Missing",171,2339,NA
