"LBDESTLC.Code.or.Value","LBDESTLC.Value.Description","LBDESTLC.Count","LBDESTLC.Cumulative","LBDESTLC.Skip.to.Item"
"0","At or above the detection limit",6238,6238,NA
"1","Below lower detection limit",1037,7275,NA
".","Missing",1016,8291,NA
