"WTSPP34.Code.or.Value","WTSPP34.Value.Description","WTSPP34.Count","WTSPP34.Cumulative","WTSPP34.Skip.to.Item"
"0 to 844801.34777","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
