"DR2TFF.Code.or.Value","DR2TFF.Value.Description","DR2TFF.Count","DR2TFF.Cumulative","DR2TFF.Skip.to.Item"
"0 to 1320","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
