"CBQ810.Code.or.Value","CBQ810.Value.Description","CBQ810.Count","CBQ810.Cumulative","CBQ810.Skip.to.Item"
"1","Always",58,58,NA
"2","Most of the time",37,95,NA
"3","Sometimes",60,155,NA
"4","Rarely",44,199,NA
"5","Never",540,739,NA
"6","Do not shop for baby foods",223,962,NA
"7","Refused",0,962,NA
"9","Don't know",0,962,NA
".","Missing",1983,2945,NA
