"DR2TFA.Code.or.Value","DR2TFA.Value.Description","DR2TFA.Count","DR2TFA.Cumulative","DR2TFA.Skip.to.Item"
"0 to 3440","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
