"OPX1ODFP.Code.or.Value","OPX1ODFP.Value.Description","OPX1ODFP.Count","OPX1ODFP.Cumulative","OPX1ODFP.Skip.to.Item"
"0","Test not performed",19,19,NA
"1","0/3",2237,2256,NA
"2","1/3",228,2484,NA
"3","2/3",32,2516,NA
"4","3/3",13,2529,NA
".","Missing",405,2934,NA
