"CDQ002.Code.or.Value","CDQ002.Value.Description","CDQ002.Count","CDQ002.Cumulative","CDQ002.Skip.to.Item"
"1","Yes",295,295,""
"2","No",725,1020,"CDQ008"
"3","Never walks uphill or hurries",60,1080,""
"7","Refused",0,1080,"CDQ008"
"9","Don't know",1,1081,"CDQ008"
".","Missing",2944,4025,""
