"RFXC078.Code.or.Value","RFXC078.Value.Description","RFXC078.Count","RFXC078.Cumulative","RFXC078.Skip.to.Item"
"-7.642 to 4.368","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
