"BIXC723K.Code.or.Value","BIXC723K.Value.Description","BIXC723K.Count","BIXC723K.Cumulative","BIXC723K.Skip.to.Item"
"9.99 to 2309.8","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
