"CFDCIR.Code.or.Value","CFDCIR.Value.Description","CFDCIR.Count","CFDCIR.Cumulative","CFDCIR.Skip.to.Item"
"0 to 10","Range of Values",1454,1454,NA
".","Missing",233,1687,NA
