"MGXH1T1.Code.or.Value","MGXH1T1.Value.Description","MGXH1T1.Count","MGXH1T1.Cumulative","MGXH1T1.Skip.to.Item"
"5 to 79.2","Range of Values",7170,7170,NA
".","Missing",651,7821,NA
