"URXFRM.Code.or.Value","URXFRM.Value.Description","URXFRM.Count","URXFRM.Cumulative","URXFRM.Skip.to.Item"
"0.0424 to 0.0424","Range of Values",2423,2423,NA
".","Missing",271,2694,NA
