"DR1TATOC.Code.or.Value","DR1TATOC.Value.Description","DR1TATOC.Count","DR1TATOC.Cumulative","DR1TATOC.Skip.to.Item"
"0 to 88.06","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
