"WHQ510C.Code.or.Value","WHQ510C.Value.Description","WHQ510C.Count","WHQ510C.Cumulative","WHQ510C.Skip.to.Item"
"12","I want to be better at sports and other physical activities",163,163,NA
".","Missing",1666,1829,NA
