"URDP05LC.Code.or.Value","URDP05LC.Value.Description","URDP05LC.Count","URDP05LC.Cumulative","URDP05LC.Skip.to.Item"
"0","At or above the detection limit",2444,2444,NA
"1","Below lower detection limit",4,2448,NA
".","Missing",190,2638,NA
