"SSII4UO2.Code.or.Value","SSII4UO2.Value.Description","SSII4UO2.Count","SSII4UO2.Cumulative","SSII4UO2.Skip.to.Item"
"0 to 3.5","Range of Values",940,940,NA
".","Missing",6,946,NA
