"DR2TP184.Code.or.Value","DR2TP184.Value.Description","DR2TP184.Count","DR2TP184.Cumulative","DR2TP184.Skip.to.Item"
"0 to 0.977","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
