"URXOP5.Code.or.Value","URXOP5.Value.Description","URXOP5.Count","URXOP5.Cumulative","URXOP5.Skip.to.Item"
"0.07 to 53.1","Range of Values",3006,3006,NA
".","Missing",199,3205,NA
