"LBDSUASI.Code.or.Value","LBDSUASI.Value.Description","LBDSUASI.Count","LBDSUASI.Cumulative","LBDSUASI.Skip.to.Item"
"101.1 to 779.2","Range of Values",6375,6375,NA
".","Missing",542,6917,NA
