"DS1TMAGN.Code.or.Value","DS1TMAGN.Value.Description","DS1TMAGN.Count","DS1TMAGN.Cumulative","DS1TMAGN.Skip.to.Item"
"0.5 to 3400","Range of Values",1207,1207,NA
".","Missing",8131,9338,NA
