"LBCBR5.Code.or.Value","LBCBR5.Value.Description","LBCBR5.Count","LBCBR5.Cumulative","LBCBR5.Skip.to.Item"
"3.904 to 266.9","Range of Values",284,284,NA
".","Missing",0,284,NA
